Model,Precision,Recall,F1-Score,AUPRC,AUROC,CV_AUPRC
Random Forest,0.8163265306122449,0.8163265306122449,0.8163265306122449,0.8715942291040882,0.977827422823378,0.9999986291186264
XGBoost,0.6829268292682927,0.8571428571428571,0.7601809954751131,0.8675567062061404,0.9799785453010692,0.9999935540997105
Logistic Regression,0.058027079303675046,0.9183673469387755,0.1091570648878108,0.7253076197780508,0.9699151502187819,0.9924327796378576
LightGBM,0.04600104547830632,0.8979591836734694,0.08751864743908504,0.043975300922380736,0.93648379089959,0.999995114811771
